,Unnamed: 0,age_certification,description,genres,id,imdb_id,imdb_score,imdb_votes,production_countries,release_year,runtime,seasons,title,tmdb_id,tmdb_popularity,tmdb_score,type,budget,revenue,winst
1045,859,R,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.","['action', 'thriller', 'drama']",tm182429,tt2302755,6.5,274270.0,['US'],2013,120,,Olympus Has Fallen,117263,55.607,6.4,MOVIE,70000000.0,161025640.0,91025640.0
1048,689,,"Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.",['drama'],tm182586,tt2070649,8.0,16423.0,['KR'],2011,125,,Silenced,81481,32.829,8.1,MOVIE,2200000.0,31500000.0,29300000.0
1050,993,PG-13,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,"['action', 'thriller', 'drama']",tm183002,tt2855648,7.6,24506.0,['IN'],2013,130,,Madras Cafe,215776,7.356,6.6,MOVIE,5400000.0,6500000.0,1100000.0
1051,749,,"Having conquered the Asian underworld, crime boss Don sets in motion a plan that will give him dominion over Europe.","['action', 'thriller', 'crime', 'european']",tm183037,tt1285241,7.0,52750.0,"['IN', 'DE']",2011,139,,Don 2,41109,9.333,7.0,MOVIE,11000000.0,2900000.0,-8100000.0
1054,852,R,An everyday man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,"['action', 'drama', 'thriller']",tm183523,tt1321511,5.7,75728.0,['US'],2013,104,,Oldboy,87516,20.164,5.9,MOVIE,30000000.0,5186767.0,-24813233.0
1055,708,PG,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,"['scifi', 'comedy', 'family', 'animation']",tm183547,tt0765446,5.8,25734.0,"['CA', 'US']",2012,89,,Escape from Planet Earth,68179,18.259,5.7,MOVIE,40000000.0,74597643.0,34597643.0
1058,1060,PG,A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,"['thriller', 'comedy', 'crime']",tm183805,tt2246724,5.8,5052.0,['IN'],2013,137,,Ghanchakkar,192097,4.012,5.5,MOVIE,4100000.0,5300000.0,1200000.0
1059,1060,PG,A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,"['thriller', 'comedy', 'crime']",tm183805,tt2246724,5.8,5052.0,['IN'],2013,137,,Ghanchakkar,192097,4.012,5.5,MOVIE,4100000.0,5300000.0,1200000.0
1063,1046,R,"At a leading ad agency, the battle for the top job between Rahul Verma, the advertising CEO, and Maya Luthra, his ambitious protégée, takes an ugly turn when Maya files a sexual harassment complaint against Rahul.","['drama', 'romance', 'thriller']",tm184511,tt2094854,6.1,2586.0,['IN'],2013,133,,Inkaar,161468,2.882,5.6,MOVIE,850000.0,1600000.0,750000.0
1068,972,PG-13,"The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.","['drama', 'comedy', 'romance']",tm185797,tt2806788,6.9,11780.0,['IN'],2013,137,,Fukrey,199139,4.383,6.8,MOVIE,2200000.0,5200000.0,3000000.0
1073,140,R,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.","['action', 'thriller', 'comedy', 'animation']",tm186589,tt0106582,6.5,128972.0,"['IT', 'US', 'FR']",1993,112,,Cliffhanger,9350,27.78,6.5,MOVIE,70000000.0,255000211.0,185000211.0
