,Unnamed: 0,age_certification,description,genres,id,imdb_id,imdb_score,imdb_votes,production_countries,release_year,runtime,seasons,title,tmdb_id,tmdb_popularity,tmdb_score,type,budget,revenue,winst
1390,1134,R,Students on a camping trip discover something sinister is lurking beyond the trees.,"['thriller', 'horror']",tm239760,tt4426214,5.0,44716.0,"['US', 'CA']",2016,89,,Blair Witch,2667,19.407,5.2,MOVIE,60000.0,248639099.0,248579099.0
1405,1482,R,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a policeman, a doctor, a migrant worker, and a rockstar.","['drama', 'action', 'crime']",tm240162,tt4434004,7.7,30276.0,['IN'],2016,148,,Udta Punjab,398535,8.861,7.2,MOVIE,5980000.0,14900000.0,8920000.0
1409,310,PG-13,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.","['comedy', 'horror']",tm24088,tt0362120,5.1,120997.0,['US'],2006,83,,Scary Movie 4,4257,83.018,5.5,MOVIE,45000000.0,178262620.0,133262620.0
1416,1435,,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.","['action', 'drama', 'history', 'romance']",tm241998,tt3859980,5.6,11693.0,['IN'],2016,155,,Mohenjo Daro,402672,8.73,6.5,MOVIE,17000000.0,16000000.0,-1000000.0
1421,1440,R,"Toro (Spanish for ""Bull"") is a young con man and the right hand of Romano, a powerful mob boss in Torremolinos, Málaga (Andalusia, south to Spain). After Toro decides to leave Romano to get a life free of crime, his last sting fails, resulting one of his brothers dead and he sent to jail. Five years later, Romano realizes that López, Toro's older brother, is robbing him money from his tourism business and he orders to kidnap Diana, López's little daughter, until this one get back the money. Without options, López visits Toro, now a touristic driver with the third grade prison close to get the parole, who only wants to be free to marry his girlfriend Estrella. When Toro accepts to help López and both meet Romano looking for a solution, Toro ends attacking Romano's men and fleeing with Diana, trying to escape from Romano's revenge. But Romano starts a ruthless searching for they three, meanwhile Toro counts the hours to back the prison according to the third grade...","['drama', 'crime', 'thriller', 'action', 'european']",tm242646,tt4213806,5.9,3256.0,"['FR', 'ES']",2016,105,,Toro,364615,8.146,6.0,MOVIE,4000000.0,1903083.0,-2096917.0
1422,1440,R,"Toro (Spanish for ""Bull"") is a young con man and the right hand of Romano, a powerful mob boss in Torremolinos, Málaga (Andalusia, south to Spain). After Toro decides to leave Romano to get a life free of crime, his last sting fails, resulting one of his brothers dead and he sent to jail. Five years later, Romano realizes that López, Toro's older brother, is robbing him money from his tourism business and he orders to kidnap Diana, López's little daughter, until this one get back the money. Without options, López visits Toro, now a touristic driver with the third grade prison close to get the parole, who only wants to be free to marry his girlfriend Estrella. When Toro accepts to help López and both meet Romano looking for a solution, Toro ends attacking Romano's men and fleeing with Diana, trying to escape from Romano's revenge. But Romano starts a ruthless searching for they three, meanwhile Toro counts the hours to back the prison according to the third grade...","['drama', 'crime', 'thriller', 'action', 'european']",tm242646,tt4213806,5.9,3256.0,"['FR', 'ES']",2016,105,,Toro,364615,8.146,6.0,MOVIE,4000000.0,1903083.0,-2096917.0
1425,1142,R,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.","['horror', 'drama', 'fantasy', 'european']",tm242705,tt4954522,7.0,72460.0,"['FR', 'BE']",2016,99,,Raw,393519,14.899,7.08,MOVIE,3500000.0,4100000.0,600000.0
1433,1130,R,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,"['thriller', 'western', 'action', 'crime', 'drama']",tm243100,tt2582782,7.6,227350.0,['US'],2016,102,,Hell or High Water,338766,28.227,7.303,MOVIE,12000000.0,37589296.0,25589296.0
1446,3076,R,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.","['crime', 'drama', 'history', 'thriller']",tm244149,tt1302006,7.8,376379.0,['US'],2019,209,,The Irishman,398978,21.075,7.6,MOVIE,159000000.0,968853.0,-158031147.0
1448,1922,PG-13,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.","['war', 'drama', 'history']",tm244175,tt1730768,7.0,43091.0,"['CZ', 'GB', 'US']",2017,126,,The Zookeeper's Wife,289222,23.231,7.4,MOVIE,20000000.0,26152835.0,6152835.0
1449,1780,R,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.","['drama', 'documentation', 'thriller', 'war']",tm244191,tt5592248,6.8,21.0,['US'],2017,93,,The Beguiled,399019,26.24,5.9,MOVIE,10500000.0,27397655.0,16897655.0
1450,1809,PG-13,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,"['scifi', 'thriller', 'drama']",tm244197,tt4154916,5.5,37340.0,"['PR', 'US', 'GB', 'CN']",2018,94,,Replicas,300681,27.644,6.1,MOVIE,30000000.0,8100000.0,-21900000.0
1453,1713,R,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.","['horror', 'fantasy', 'thriller']",tm244208,tt1396484,7.3,527626.0,['US'],2017,135,,It,346364,95.827,7.234,MOVIE,35000000.0,701842551.0,666842551.0
1454,1743,PG-13,"A thrilling and inspiring true story begins on the eve of World War II as, within days of becoming Prime Minister of Great Britain, Winston Churchill must face one of his most turbulent and defining trials: exploring a negotiated peace treaty with Nazi Germany, or standing firm to fight for the ideals, liberty and freedom of a nation. As the unstoppable Nazi forces roll across Western Europe and the threat of invasion is imminent, and with an unprepared public, a skeptical King, and his own party plotting against him, Churchill must withstand his darkest hour, rally a nation, and attempt to change the course of world history.","['drama', 'history', 'war', 'thriller', 'family']",tm244220,tt4555426,7.4,193208.0,['GB'],2017,125,,Darkest Hour,399404,21.927,7.351,MOVIE,30000000.0,150847207.0,120847207.0
1455,1888,R,"Laura, a Spanish woman living in Buenos Aires, returns to her hometown outside Madrid with her Argentinian husband and children. However, the trip is upset by unexpected events that bring secrets into the open.","['drama', 'thriller', 'crime', 'european']",tm244229,tt4964788,6.9,34365.0,"['IT', 'ES', 'FR']",2018,132,,Everybody Knows,401545,11.374,6.5,MOVIE,11318430.0,17997350.0,6678920.0
1456,1859,PG-13,"Susan, a single mother of two, works as a waitress in a small town. Her son, Henry, is an 11-year-old genius who not only manages the family finances but acts as emotional support for his mother and younger brother. When Henry discovers that the girl next door has a terrible secret, he implores Susan to take matters into her own hands.","['drama', 'thriller', 'crime']",tm244233,tt4572792,6.5,27262.0,['US'],2017,106,,The Book of Henry,382614,17.456,7.5,MOVIE,10000000.0,4596705.0,-5403295.0
1457,1717,R,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,"['thriller', 'crime', 'drama', 'western']",tm244259,tt5362988,7.7,244463.0,"['FR', 'GB', 'US']",2017,107,,Wind River,395834,26.743,7.427,MOVIE,11000000.0,44998252.0,33998252.0
1458,2325,PG-13,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.","['crime', 'drama', 'action']",tm244274,tt1366338,5.6,2542.0,['US'],2017,99,,Lowriders,333384,9.863,6.7,MOVIE,916000.0,6179955.0,5263955.0
1461,2567,,"A boy meets a girl named Riya and falls in love. After struggling to convince her to be his girlfriend, she half-heartedly agrees to be his `half-girlfriend'.","['drama', 'romance']",tm244287,tt5474042,4.5,7233.0,['IN'],2017,135,,Half Girlfriend,413884,9.16,6.7,MOVIE,7445000.0,12805400.0,5360400.0
1493,1341,,"Ronny is a rebellious man, who falls in love with Sia but circumstances separate them. Years later, Ronny learns that Sia is abducted by a martial arts champion, Raghav.","['romance', 'action', 'thriller']",tm244915,tt4864932,5.3,8994.0,['IN'],2016,133,,Baaghi,391629,16.534,6.4,MOVIE,5103000.0,17377000.0,12274000.0
1536,1380,,"A small-town mechanic turned chauffeur for the mob gets caught up in the troubles of a beautiful sex worker, in this Scorsese-meets-Nollywood crime comedy that transforms the fast-paced and vibrant city of Lagos into an expressionistic film noir metropolis.","['comedy', 'crime', 'drama']",tm248010,tt5112438,6.0,69.0,['NG'],2015,100,,Taxi Driver,103,1.191,5.3,MOVIE,1300000.0,28570902.0,27270902.0
1537,1,R,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"['drama', 'crime']",tm84618,tt0075314,8.2,808582.0,['US'],1976,114,,Taxi Driver,103,40.965,8.179,MOVIE,1300000.0,28570902.0,27270902.0
1548,205,,In 1993 Fiza's brother disappears during the riots in Mumbai. In 1999 Fiza is tired of waiting and goes looking for him.,"['romance', 'action', 'crime', 'drama', 'thriller']",tm25389,tt0248012,6.0,4213.0,['IN'],2000,170,,Fiza,56666,2.835,6.3,MOVIE,1000000.0,623791.0,-376209.0
1558,98,R,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","['crime', 'comedy']",tm25947,tt0208092,8.3,841435.0,"['US', 'GB']",2000,103,,Snatch,107,25.203,7.8,MOVIE,10000000.0,83557872.0,73557872.0
1562,256,R,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","['thriller', 'drama', 'war']",tm26327,tt0887912,7.5,446904.0,['US'],2008,131,,The Hurt Locker,12162,28.341,7.3,MOVIE,15000000.0,49230772.0,34230772.0
1565,361,R,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror.","['thriller', 'horror', 'documentation']",tm26638,tt0420294,5.8,72845.0,['US'],2006,91,,The Texas Chainsaw Massacre: The Beginning,10781,57.763,6.1,MOVIE,16000000.0,107363905.0,91363905.0
1575,1737,R,The adventures of two California Highway Patrol motorcycle officers as they make their rounds on the freeways of Los Angeles.,"['action', 'comedy', 'crime']",tm266714,tt0493405,6.0,46783.0,['US'],2017,100,,CHiPS,417644,34.887,6.1,MOVIE,25000000.0,26800152.0,1800152.0
1577,1593,,"When the wife wants a divorce, the neurotic husband struggles to come to terms with what happened and how to get his old life back.","['comedy', 'drama', 'romance', 'european']",tm267017,tt5183654,4.7,1008.0,['SE'],2016,98,,I Love You,16538,2.205,4.5,MOVIE,41000000.0,91980359.0,50980359.0
1585,1448,,The drama is centered on four friends and business partners who in one evening are forced to find a way to save their company and themselves. The impossible decision they face is agreeing on who will be the one to sacrifice their freedom to save the others from personal and financial demise. It is a race against time that will put their friendship and sanity to the test. Who will take the fall?,"['drama', 'european']",tm267948,tt5517438,6.7,4961.0,['ES'],2016,77,,7 Years,76203,6.603,6.3,MOVIE,20000000.0,187000000.0,167000000.0
1586,263,PG-13,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['thriller', 'action']",tm26897,tt0830515,6.6,444241.0,"['GB', 'US']",2008,106,,Quantum of Solace,10764,31.298,6.304,MOVIE,200000000.0,589580482.0,389580482.0
1607,1775,R,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.","['scifi', 'thriller', 'drama', 'action', 'crime', 'fantasy']",tm272060,tt1536537,6.8,121772.0,"['FR', 'RO', 'GB', 'BE', 'DE']",2017,123,,What Happened to Monday,406990,60.669,7.2,MOVIE,20000000.0,27975429.0,7975429.0
1613,336,PG,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.","['animation', 'comedy', 'family', 'fantasy']",tm27268,tt0385880,6.6,117008.0,['US'],2006,91,,Monster House,9297,51.891,6.6,MOVIE,75000000.0,140175006.0,65175006.0
1614,1496,PG,"ACP Yashvardhan teams up RAW Agent KK to bring down the master mind terrorist, Shiv.","['action', 'crime', 'thriller']",tm272854,tt5156746,6.2,5550.0,['IN'],2016,123,,Force 2,426558,5.209,6.6,MOVIE,6500000.0,6900000.0,400000.0
1620,105,PG-13,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.","['thriller', 'action']",tm27395,tt0120755,6.1,337987.0,['US'],2000,123,,Mission: Impossible II,955,29.392,6.1,MOVIE,125000000.0,546388105.0,421388105.0
1623,568,G,Raj Malhotra is a luckless architect who seeks success but in vain. He bumps into a social activist named Priya. Raj finds out that Priya is a lucky charm for him but unfortunately she is protecting the community center for which he aims to win the contract of demolishing for a brand new shopping mall.,"['romance', 'drama', 'comedy']",tm27484,tt1105733,5.3,5637.0,['IN'],2008,153,,Kismat Konnection,15467,4.743,4.9,MOVIE,4180000.0,11000000.0,6820000.0
1637,239,R,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.","['drama', 'thriller', 'crime', 'action']",tm27911,tt0407887,8.5,1296244.0,['US'],2006,151,,The Departed,1422,33.795,8.2,MOVIE,90000000.0,291465000.0,201465000.0
1646,1971,R,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers.",['comedy'],tm281935,tt6360762,5.6,49478.0,['US'],2017,104,,A Bad Moms Christmas,431530,20.005,6.3,MOVIE,28000000.0,130560428.0,102560428.0
1666,2183,R,"Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote medical mission in the Ottoman Empire (now Turkey). However, Lillie soon finds herself at odds with Jude and the mission’s founder, Woodruff, when she falls for the titular military man, Ismail, just as the war is about to erupt.","['war', 'romance', 'drama']",tm285649,tt4943322,6.4,25674.0,"['TR', 'US']",2017,111,,The Ottoman Lieutenant,433356,14.87,6.2,MOVIE,40000000.0,413844.0,-39586156.0
1674,1752,R,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.","['thriller', 'horror']",tm287684,tt5638642,6.3,95551.0,"['CA', 'GB']",2017,94,,The Ritual,433808,24.321,6.2,MOVIE,1000000.0,1786396.0,786396.0
1676,1778,R,"In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time.","['drama', 'european']",tm288499,tt6155172,7.7,155787.0,"['US', 'MX']",2018,135,,Roma,426426,12.745,7.7,MOVIE,15000000.0,1140769.0,-13859231.0
1682,1396,R,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.","['thriller', 'drama', 'action']",tm290444,tt6302160,6.6,7416.0,['KR'],2016,136,,Pandora,429450,27.496,7.5,MOVIE,13938145.0,30169000.0,16230855.0
1684,412,PG-13,"Jodhaa Akbar is a sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal Emperor, Akbar and a Rajput princess, Jodhaa.","['romance', 'history', 'war', 'action', 'drama']",tm29269,tt0449994,7.5,32440.0,['IN'],2008,214,,Jodhaa Akbar,14073,11.959,7.4,MOVIE,5800000.0,28700000.0,22900000.0
1685,1966,,"In downtown Madrid, a series of mysterious gunshots trap a motley assortment of people in a decrepit bar.","['horror', 'thriller', 'comedy', 'fantasy', 'european']",tm292837,tt5121816,6.3,26370.0,['ES'],2017,102,,The Bar,420648,11.671,6.3,MOVIE,6045750.0,3662671.0,-2383079.0
1687,798,,"Gruff retiree Rene rejects most human contact, but begins to soften once he comes to terms with his homosexuality.",['drama'],tm29400,tt2244376,7.1,301.0,['PH'],2012,104,,Bwakaw,121173,0.831,6.2,MOVIE,11178.0,34659.0,23481.0
1695,352,R,"After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.","['comedy', 'drama', 'romance']",tm29555,tt0436331,5.8,30468.0,['US'],2006,88,,Friends with Money,8998,11.86,5.1,MOVIE,6500000.0,13368437.0,6868437.0
1703,280,R,"When governments fail to act on behalf of captive missionaries, ex-Green Beret John James Rambo sets aside his peaceful existence along the Salween River in a war-torn region of Thailand to take action.  Although he's still haunted by violent memories of his time as a U.S. soldier during the Vietnam War, Rambo can hardly turn his back on the aid workers who so desperately need his help.","['action', 'thriller', 'war', 'european']",tm29737,tt0462499,7.0,230333.0,"['DE', 'US']",2008,92,,Rambo,7555,72.224,6.6,MOVIE,50000000.0,113244290.0,63244290.0
1710,2313,,"María and Susana, two rebellious teenagers, spend the summer in a catholic camp. While they are grounded during a weekend, the most unexpected arrival in the most unexpected way will change their feelings about life, love and freedom.","['comedy', 'romance', 'european']",tm299504,tt5176252,6.2,4052.0,['ES'],2017,109,,Holy Camp!,426338,10.133,6.8,MOVIE,3144622.0,2963886.0,-180736.0
1742,450,PG-13,"DCP DeSilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named Vijay, who looks exactly like the crime boss. The ruse works too well, and soon Vijay finds his life in danger when DeSilva, the only one who knows his true identity, dies.","['thriller', 'crime', 'action', 'european']",tm30170,tt0461936,7.1,37131.0,['IN'],2006,167,,Don,17501,8.892,7.1,MOVIE,5000000.0,15000000.0,10000000.0
1743,298,R,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.","['drama', 'fantasy', 'comedy', 'history', 'action']",tm30205,tt1220719,8.0,222372.0,['HK'],2008,106,,Ip Man,14756,21.074,7.7,MOVIE,11715578.0,22108789.0,10393211.0
1747,4695,PG,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.","['comedy', 'family', 'fantasy', 'music', 'drama', 'animation']",tm305129,tt6467266,7.4,58423.0,['US'],2021,110,,Sing 2,438695,545.619,8.052,MOVIE,85000000.0,406000000.0,321000000.0
1753,276,PG-13,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?","['fantasy', 'action', 'crime', 'drama']",tm30603,tt0448157,6.4,476593.0,['US'],2008,92,,Hancock,8960,121.985,6.33,MOVIE,150000000.0,629443428.0,479443428.0
1769,2437,,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.","['comedy', 'drama', 'romance']",tm307761,tt5785170,7.2,20896.0,['IN'],2017,155,,Toilet: A Love Story,441875,5.129,6.981,MOVIE,3700000.0,13800000.0,10100000.0
1770,2544,,"Emergency has been declared in India. Maharani Gitanjali from one of Rajasthan's princely states has already lost her privy purse. Now, she fears that she will lose the last treasure chest of gold which has been forcibly taken away from her. So she asks her trusted lieutenant, Bhawani to step in and plan a heist.","['action', 'thriller']",tm307767,tt4906960,4.9,4880.0,['IN'],2017,136,,Baadshaho,441894,4.073,5.8,MOVIE,12300000.0,27000000.0,14700000.0
1771,2490,PG,A gifted teenage detective searches for his missing father with his ladylove assistant.,"['comedy', 'thriller', 'romance', 'action']",tm307774,tt4129428,6.3,10283.0,['IN'],2017,180,,Jagga Jasoos,401285,6.005,6.0,MOVIE,19700000.0,12500000.0,-7200000.0
1772,2254,,"Insia Malik is a talented 15-year-old school girl from Baroda whose spirit is ripped because her mother is in a troubled and violent marriage. Of course she still dares to pursue her dream of becoming a singer and she also valiantly attempts to free her mother from her conservative, cold father.","['drama', 'music']",tm307776,tt6108090,7.8,24832.0,['IN'],2017,150,,Secret Superstar,441889,9.7,7.5,MOVIE,286284.0,137416709.0,137130425.0
1773,2355,,Six young friends in the small town of Angamaly tries their luck by starting a pork business lead by Vincent Pepe. They initially strike a business deal with Rajan and Ravi despite the duo having killed a close friend of theirs in a gang fight. Vincent is in love with Sakhi and plan to immigrate abroad with her. But their plans hit a road bump as the deal with the gangsters hits some road bumps.,"['drama', 'thriller', 'action', 'comedy']",tm307843,tt6167894,7.9,6013.0,['IN'],2017,132,,Angamaly Diaries,442000,3.606,7.3,MOVIE,610000.0,3100000.0,2490000.0
1808,2272,PG-13,"During the Japanese colonial era, roughly 400 Korean people, who were forced onto Battleship Island (‘Hashima Island’) to mine for coal, attempt to escape.","['drama', 'action', 'history']",tm311995,tt5969696,7.1,7095.0,['KR'],2017,132,,The Battleship Island,436391,27.413,7.2,MOVIE,21000000.0,46183383.0,25183383.0
1819,1712,R,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,"['drama', 'action', 'war', 'history']",tm313149,tt1413492,6.5,79980.0,['US'],2018,131,,12 Strong,429351,67.199,6.2,MOVIE,35000000.0,67450815.0,32450815.0
1824,2459,PG-13,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.","['drama', 'comedy']",tm313424,tt7218518,7.9,25539.0,['IN'],2018,140,,Pad Man,447856,5.173,7.5,MOVIE,10000000.0,23000000.0,13000000.0
1854,1723,R,"In 1950s London, renowned British dressmaker Reynolds Woodcock comes across Alma, a young, strong-willed woman, who soon becomes ever present in his life as his muse and lover.","['drama', 'romance']",tm315174,tt5776858,7.4,130006.0,"['US', 'GB']",2017,130,,Phantom Thread,400617,14.833,7.3,MOVIE,35000000.0,47756590.0,12756590.0
1857,1727,R,"Molly Bloom, a young skier and former Olympic hopeful becomes a successful entrepreneur (and a target of an FBI investigation) when she establishes a high-stakes, international poker game.","['drama', 'crime', 'sport']",tm315344,tt4209788,7.4,167955.0,"['CN', 'CA', 'US']",2017,140,,Molly's Game,396371,25.929,7.147,MOVIE,30000000.0,59284015.0,29284015.0
1883,1728,R,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,"['thriller', 'crime', 'drama', 'action']",tm318206,tt1259528,7.0,110108.0,['US'],2018,140,,Den of Thieves,449443,47.326,6.7,MOVIE,30000000.0,80509622.0,50509622.0
1887,3748,,"A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.","['thriller', 'action', 'crime', 'drama', 'romance']",tm319139,tt6836936,5.0,19610.0,['IN'],2019,171,,Saaho,454292,7.256,6.1,MOVIE,51000000.0,55000000.0,4000000.0
1889,2719,,"A young Aji Mathew is a communist who goes the whole nine yards for the ideologies he believes in. When the girl he loves leaves to the US out of the blue and her parents fix her wedding, Aji is left with just a fortnight to reach the country albeit with no passport or visa. How far he is willing to go for love forms the plot.","['action', 'romance', 'drama']",tm319310,tt5925772,6.4,3088.0,['IN'],2017,134,,CIA: Comrade In America,439601,2.548,6.0,MOVIE,1400000.0,3900000.0,2500000.0
1902,1930,PG-13,"Lynn, a brilliant student, after helping her friends to get the grades they need, develops the idea of starting a much bigger exam-cheating business.","['comedy', 'drama', 'crime', 'thriller']",tm320255,tt6788942,7.6,20571.0,['TH'],2017,130,,Bad Genius,455714,20.398,8.0,MOVIE,1839169.0,42350000.0,40510831.0
1919,2666,,"Separated at birth and peculiarly connected via their reflexes, twins Prem and Raja are reunited with each other as they set out to take down the underground smuggling world.","['action', 'comedy', 'romance']",tm321073,tt5456546,3.6,10740.0,['IN'],2017,150,,Judwaa 2,456565,5.689,5.8,MOVIE,10000000.0,34500000.0,24500000.0
1923,325,PG,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive.","['drama', 'sport']",tm32144,tt0758794,7.0,61345.0,['US'],2006,131,,We Are Marshall,11170,13.173,6.9,MOVIE,65000000.0,43545364.0,-21454636.0
1931,2613,G,Juan López must balance an office job with heroic feats to save the love of his life and native planet Chitón.,"['comedy', 'scifi', 'action', 'european']",tm322200,tt4110388,5.4,3635.0,['ES'],2018,108,,Superlopez,457915,10.953,5.3,MOVIE,5200000.0,12496155.0,7296155.0
1983,2540,,"Bitti Mishra is a bohemian Bareilly girl who falls deeply in love with Pritam Vidrohi, an author because she admires his progressive way of thinking. Finding him though proves to be as hard as looking for a needle in the haystack. So Bitti seeks the help of the local printing press-owner, Chirag Dubey on her journey of love.","['romance', 'comedy']",tm327708,tt6967980,7.5,23336.0,['IN'],2017,123,,Bareilly Ki Barfi,467106,7.874,6.8,MOVIE,2740700.0,8050806.0,5310106.0
1991,423,PG-13,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.","['drama', 'history', 'comedy', 'crime']",tm32885,tt0405508,8.1,118477.0,['IN'],2006,157,,Rang De Basanti,7913,6.848,7.2,MOVIE,2200000.0,11502151.0,9302151.0
1993,296,R,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.","['drama', 'thriller', 'action']",tm32919,tt0450259,8.0,541547.0,"['DE', 'US']",2006,143,,Blood Diamond,1372,47.39,7.5,MOVIE,100000000.0,171720398.0,71720398.0
1994,655,PG-13,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.","['drama', 'history', 'romance', 'war']",tm32982,tt1707386,7.5,327017.0,"['US', 'GB']",2012,158,,Les Misérables,82695,21.858,7.3,MOVIE,61000000.0,441809770.0,380809770.0
1996,2080,PG,"Starring Will Arnett, Chris ""Ludacris"" Bridges, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Alan Cumming, and Stanley Tucci, SHOW DOGS is a family comedy about the unlikely pairing of a human detective (Arnett) and his canine partner (voice of Chris ""Ludacris"" Bridges), who has to go undercover at the world's most exclusive dog show to solve his biggest case yet.","['comedy', 'crime', 'family']",tm330869,tt5691024,3.8,4704.0,"['US', 'GB']",2018,92,,Show Dogs,425148,11.664,6.1,MOVIE,5500000.0,38830219.0,33330219.0
